date;open;high;low;close;volume;;;
01/08/13;16,067;16,149;15,826;15,949;458707004;;;
01/09/13;15,864;15,94;15,666;15,7;407599836;;;
01/10/13;16,047;16,052;15,652;15,894;601141184;;;
01/11/13;15,818;15,949;15,758;15,797;350754964;;;
01/14/13;15,262;15,408;15,135;15,234;734177584;;;date, open, high, low, close, volume
01/15/13;15,129;15,15;14,676;14,753;876771728;;;
01/16/13;15,018;15,467;14,953;15,365;690800180;;;
01/17/13;15,494;15,507;15,242;15,262;453650316;;;
01/18/13;15,135;15,248;15,071;15,18;473149068;;;
01/21/13;15,135;15,248;15,071;15,18;473149068;;;
01/22/13;15,319;15,42;15,078;15,325;461544692;;;
01/23/13;15,448;15,636;15,325;15,606;861503412;;;
01/24/13;13,966;14,14;13,67;13,678;1460851812;;;
01/25/13;13,714;13,852;13,207;13,355;1207974012;;;
01/28/13;13,293;13,76;13,233;13,657;785515724;;;
01/29/13;13,921;13,972;13,727;13,914;571072068;;;
01/30/13;13,875;14,045;13,799;13,87;417153268;;;
01/31/13;13,874;13,944;13,814;13,829;319332860;;;
02/01/13;13,939;13,95;13,612;13,772;539468356;;;
02/04/13;13,781;13,843;13,42;13,429;477115016;;;
02/05/13;13,482;13,958;13,426;13,901;573346144;;;
02/06/13;13,859;14,163;13,741;13,886;593704048;;;
02/07/13;14,147;14,353;13,868;14,298;704580296;;;
02/08/13;14,475;14,622;14,299;14,505;633155936;;;
02/11/13;14,551;14,809;14,452;14,656;517434064;;;
02/12/13;14,643;14,731;14,284;14,289;609050848;;;
02/13/13;14,268;14,464;14,146;14,262;475204884;;;
02/14/13;14,185;14,403;14,17;14,249;355506004;;;
02/15/13;14,318;14,358;14,045;14,052;391924708;;;
02/18/13;14,318;14,358;14,045;14,052;391924708;;;
02/19/13;14,081;14,131;13,86;14,047;435776852;;;
02/20/13;13,977;13,977;13,705;13,707;476299544;;;
02/21/13;13,62;13,717;13,523;13,622;447180720;;;
02/22/13;13,719;13,791;13,638;13,767;330654576;;;
02/25/13;13,86;13,898;13,515;13,522;372577856;;;
02/26/13;13,553;13,789;13,365;13,711;501496296;;;
02/27/13;13,694;13,817;13,457;13,576;587347712;;;
02/28/13;13,56;13,677;13,479;13,479;322514948;;;
03/01/13;13,376;13,381;13,131;13,146;552447168;;;
03/04/13;13,064;13,076;12,795;12,827;582737596;;;
03/05/13;12,871;13,29;12,849;13,166;638428168;;;
03/06/13;13,269;13,292;12,961;12,999;460249076;;;
03/07/13;12,963;13,193;12,858;13,149;468471304;;;
03/08/13;13,125;13,297;13,089;13,184;391595932;;;
03/11/13;13,124;13,406;12,983;13,372;474233424;;;
03/12/13;13,302;13,402;13,057;13,083;465909892;;;
03/13/13;13,084;13,269;12,99;13,081;405816768;;;
03/14/13;13,218;13,273;13,145;13,208;303874984;;;
03/15/13;13,373;13,566;13,353;13,548;643959148;;;
03/18/13;13,481;13,97;13,473;13,917;606196360;;;
03/19/13;14,032;14,077;13,696;13,879;526773240;;;
03/20/13;13,969;13,975;13,73;13,806;308660632;;;
03/21/13;13,749;13,986;13,745;13,825;383253640;;;
03/22/13;13,882;14,112;13,837;14,106;395104444;;;
03/25/13;14,191;14,351;14,102;14,157;501133752;;;
03/26/13;14,214;14,226;14,064;14,082;294293692;;;
03/27/13;13,939;13,95;13,764;13,806;331409176;;;
03/28/13;13,737;13,798;13,486;13,518;442982344;;;
03/29/13;13,737;13,798;13,486;13,518;442982344;;;
04/01/13;13,495;13,55;13,062;13,098;389729956;;;
04/02/13;13,058;13,38;13,021;13,125;529772936;;;
04/03/13;13,173;13,354;13,141;13,192;363214908;;;
04/04/13;13,246;13,284;12,986;13,062;358658552;;;
04/05/13;12,963;12,977;12,816;12,924;383693912;;;
04/08/13;12,974;13,055;12,902;13,016;301058968;;;
04/09/13;13,02;13,086;12,91;13,039;306752460;;;
04/10/13;13,073;13,347;13,009;13,305;375926992;;;
04/11/13;13,245;13,375;13,168;13,264;328616372;;;
04/12/13;13,258;13,258;13,104;13,125;238725116;;;
04/15/13;13,04;13,067;12,812;12,821;317518824;;;
04/16/13;12,874;13,028;12,843;13,016;305771032;;;
04/17/13;12,834;12,844;12,157;12,301;945053844;;;
04/18/13;12,368;12,392;11,902;11,972;666296652;;;
04/19/13;11,848;12,203;11,76;11,926;609272804;;;
04/22/13;11,99;12,282;11,949;12,175;429917768;;;
04/23/13;12,337;12,471;12,179;12,402;664235796;;;
04/24/13;12,018;12,681;11,986;12,382;969833564;;;
04/25/13;12,558;12,641;12,429;12,471;384836620;;;
04/26/13;12,515;12,788;12,467;12,741;764275960;;;
04/29/13;12,84;13,242;12,826;13,135;640324440;;;
04/30/13;13,287;13,597;13,195;13,522;691537448;;;
05/01/13;13,573;13,587;13,265;13,415;507154788;;;
05/02/13;13,491;13,699;13,456;13,605;422024736;;;
05/03/13;13,782;13,841;13,716;13,741;361527152;;;
05/06/13;13,916;14,115;13,874;14,069;496640648;;;
05/07/13;14,199;14,223;13,855;14,006;483752304;;;
05/08/13;14,018;14,211;13,919;14,165;472596152;;;
05/09/13;14,135;14,233;14,005;14,041;398749904;;;
05/10/13;14,078;14,132;13,848;13,924;334849928;;;
05/13/13;13,879;14,076;13,879;13,979;317109240;;;
05/14/13;13,951;13,993;13,592;13,644;447115760;;;
05/15/13;13,5;13,556;12,983;13,183;741612340;;;
05/16/13;13,01;13,46;12,877;13,359;603465912;;;
05/17/13;13,496;13,528;13,249;13,318;428079316;;;
05/20/13;13,277;13,704;13,221;13,616;451575936;;;
05/21/13;13,469;13,694;13,347;13,515;456296960;;;
05/22/13;13,65;13,782;13,471;13,567;443259432;;;
05/23/13;13,401;13,715;13,396;13,591;353380944;;;
05/24/13;13,552;13,7;13,537;13,684;276426556;;;
05/27/13;13,552;13,7;13,537;13,684;276426556;;;
05/28/13;13,83;13,867;13,552;13,57;386144752;;;
05/29/13;13,526;13,756;13,507;13,678;330782676;;;
05/30/13;13,699;13,971;13,664;13,882;353714592;;;
05/31/13;13,91;14,051;13,818;13,825;384300168;;;
06/03/13;13,855;13,906;13,602;13,855;372351364;;;
06/04/13;13,932;13,969;13,753;13,812;292726084;;;
06/05/13;13,699;13,855;13,64;13,683;290589348;;;
06/06/13;13,694;13,741;13,343;13,478;417073832;;;
06/07/13;13,418;13,625;13,303;13,581;404742744;;;
06/10/13;13,671;13,805;13,427;13,491;450356172;;;
06/11/13;13,395;13,61;13,32;13,452;286384084;;;
06/12/13;13,51;13,564;13,264;13,286;265426672;;;
06/13/13;13,295;13,438;13,18;13,402;286112344;;;
06/14/13;13,384;13,412;13,172;13,22;272083644;;;
06/17/13;13,262;13,393;13,229;13,28;259441812;;;
06/18/13;13,266;13,369;13,225;13,273;195161792;;;
06/19/13;13,261;13,269;13,003;13,003;311031140;;;
06/20/13;12,889;13,095;12,762;12,814;357498232;;;
06/21/13;12,864;12,911;12,545;12,711;481249384;;;
06/24/13;12,523;12,562;12,236;12,374;480745720;;;
06/25/13;12,471;12,535;12,26;12,377;314339144;;;
06/26/13;12,416;12,443;12,163;12,237;367946292;;;
06/27/13;12,273;12,339;12,097;12,105;337400196;;;
06/28/13;12,03;12,304;11,954;12,189;578637668;;;
07/01/13;12,379;12,673;12,334;12,579;391172180;;;
07/02/13;12,602;12,961;12,587;12,864;470086316;;;
07/03/13;12,937;13,002;12,832;12,935;240928632;;;
07/04/13;12,937;13,002;12,832;12,935;240928632;;;
07/05/13;12,923;13,012;12,768;12,832;274083040;;;
07/08/13;12,914;12,942;12,623;12,759;298313680;;;
07/09/13;12,714;13,018;12,615;12,983;352688952;;;
07/10/13;12,899;13,058;12,857;12,933;281403276;;;
07/11/13;13,001;13,164;12,947;13,135;326475856;;;
07/12/13;13,146;13,212;13,016;13,111;279641852;;;
07/15/13;13,065;13,263;13,058;13,14;242172420;;;
07/16/13;13,111;13,24;13,039;13,224;216537468;;;
07/17/13;13,209;13,286;13,163;13,228;199056256;;;
07/18/13;13,322;13,368;13,237;13,272;219043272;;;
07/19/13;13,314;13,341;13,045;13,063;268778860;;;
07/22/13;13,202;13,211;13,079;13,105;207990384;;;
07/23/13;13,095;13,125;12,871;12,88;369393612;;;
07/24/13;13,493;13,667;13,38;13,541;592055296;;;
